marital_status,application_mode,application_order,course,course_time,education_level,previous_grade,nationality,mother_education,father_education,mother_occupation,father_occupation,admission_grade,is_displaced,has_special_needs,is_debtor,is_tuition_paid,gender,is_scholarship_holder,age_at_enrollment,is_international,s1_credited,s1_enrolled,s1_evaluated,s1_approved,s1_grade,s1_not_evaluated,s2_credited,s2_enrolled,s2_evaluated,s2_approved,s2_grade,s2_not_evaluated,unemployment_rate,inflation_rate,gdp,status,avg_grade,avg_grade_bin,avg_admission_grade_bin,unemployment_bin,inflation_bin,gdp_bin
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,63.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Unskilled workers,Technicians & associate professionals,60.35,1,0,0,1,female,0,20,0,0,6,6,5,65.99999999999999,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,32.99999999999999,21-40,50-70,Very High,High,Very Low
single,3rd phase - general contingent,1,Social Service,daytime,Secondary,68.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Personal services & sales,Machine operators,68.7,1,0,0,1,female,0,18,0,0,6,10,1,60.0,0,0,6,14,2,55.00000000000001,0,10.8,1.4,1.74,Enrolled,57.5,41-60,50-70,Low,Medium,High
single,2nd phase - general contingent,2,Nursing,daytime,Secondary,67.5,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Personal services & sales,Admin staff,63.65,1,0,0,1,female,0,18,0,0,7,8,7,66.53125,0,0,8,8,8,72.725,0,15.5,2.8,-4.06,Graduate,69.628125,61-80,50-70,Very High,High,Very Low
single,1st phase - general contingent,1,Equinculture,daytime,Secondary,68.5,Portuguese,Higher education (diploma),Basic 3rd cycle (9th-11th),Technicians & associate professionals,Personal services & sales,68.15,1,0,0,1,female,0,20,0,0,5,8,4,62.5,1,0,5,8,4,61.25000000000001,2,10.8,1.4,1.74,Graduate,61.875,61-80,50-70,Low,Medium,High
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,70.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Skilled industry workers,Skilled industry workers,62.3,1,0,0,1,female,0,18,0,0,7,7,6,58.33333335,0,0,7,8,6,67.5,0,16.2,0.3,-0.92,Enrolled,62.916666675,61-80,50-70,Very High,Low,Medium
single,3rd phase - general contingent,4,Oral Hygiene,daytime,Secondary,63.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Admin staff,Skilled industry workers,60.9,1,0,0,1,female,0,20,0,0,7,14,7,57.1875,0,0,8,9,8,57.125,0,12.7,3.7,-1.7,Enrolled,57.15625,41-60,50-70,Medium,Very High,Low
single,1st phase - general contingent,4,Nursing,daytime,Secondary,71.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Govt & executive leaders,Govt & executive leaders,62.74999999999999,1,0,0,1,female,0,18,0,0,8,12,7,64.2857143,0,0,8,12,7,64.2857143,0,12.7,3.7,-1.7,Graduate,64.2857143,61-80,50-70,Medium,Very High,Low
single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary,62.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Admin staff,Skilled industry workers,57.45,1,0,0,1,female,1,19,0,0,6,8,6,66.875,0,0,6,7,6,61.42857145,0,11.1,0.6,2.02,Graduate,64.151785725,61-80,50-70,Medium,Low,Very High
single,1st phase - general contingent,1,Nursing,daytime,Secondary,63.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Technicians & associate professionals,Skilled industry workers,61.95,0,0,0,1,female,0,19,0,0,7,8,6,66.48333335000001,0,0,8,9,7,70.57142855000001,0,11.1,0.6,2.02,Graduate,68.52738095000001,61-80,50-70,Medium,Low,Very High
single,1st phase - general contingent,1,Social Service,daytime,Secondary,75.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,78.5,1,0,1,1,female,1,18,0,0,6,8,5,57.99999999999999,0,0,6,12,4,55.00000000000001,0,7.6,2.6,0.32,Enrolled,56.5,41-60,70-100,Very Low,High,Medium
single,2nd phase - general contingent,2,Social Service,daytime,Secondary,57.49999999999999,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Skilled industry workers,Machine operators,58.20000000000001,1,0,0,1,female,0,21,0,0,6,9,6,56.875,0,0,6,9,6,66.42857144999999,0,16.2,0.3,-0.92,Graduate,61.651785724999996,61-80,50-70,Very High,Low,Medium
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,69.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Technicians & associate professionals,Technicians & associate professionals,65.5,1,0,0,1,female,0,18,0,0,5,9,5,63.33333335,2,0,5,7,4,65.0,0,9.4,-0.8,-3.12,Enrolled,64.166666675,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,1,Management,daytime,Secondary,67.5,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Unskilled workers,Unskilled workers,61.04999999999999,1,0,0,1,female,0,20,0,0,5,6,5,60.0,0,0,5,6,5,61.66666665,0,16.2,0.3,-0.92,Graduate,60.833333325,61-80,50-70,Very High,Low,Medium
single,2nd phase - general contingent,2,Nursing,daytime,Secondary,63.5,Portuguese,Higher education (diploma),Higher education (diploma),Govt & executive leaders,Military professions,59.4,1,0,0,1,male,0,19,0,0,7,9,6,64.66666665000001,0,0,7,7,6,68.58333335,0,16.2,0.3,-0.92,Enrolled,66.625,61-80,50-70,Very High,Low,Medium
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization,75.0,Portuguese,Masters degree,Doctorate degree,Admin staff,"Specialists (science, law, etc.)",75.0,0,0,0,1,male,0,21,0,0,6,15,5,59.2857143,0,0,6,17,5,52.85714285,0,16.2,0.3,-0.92,Enrolled,56.071428575,41-60,70-100,Very High,Low,Medium
single,Change of institution/course,1,Communication Design,daytime,Secondary,62.5,Portuguese,Professional higher technical course,Higher education (diploma),125,Finance & admin specialists,65.0,1,0,0,1,male,0,20,0,2,6,7,6,64.16666665000001,0,0,6,9,4,67.0,0,8.9,1.4,3.51,Graduate,65.58333332500001,61-80,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,1,Management,daytime,Secondary,71.5,Portuguese,Secondary,Secondary,Admin staff,Farmers & agriculture,69.4,0,0,0,0,male,0,18,0,0,5,9,3,56.666666649999996,0,0,5,8,2,67.5,0,8.9,1.4,3.51,Enrolled,62.083333325,61-80,50-70,Very Low,Medium,Very High
single,3rd phase - general contingent,1,Social Service (evening attendance),evening,Secondary,69.0,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Unskilled workers,Personal services & sales,67.25,1,0,0,1,female,0,19,0,0,6,6,6,63.33333335,0,0,6,8,6,71.875,0,12.4,0.5,1.79,Graduate,67.604166675,61-80,50-70,Medium,Low,High
single,1st phase - general contingent,1,Management (evening attendance),evening,Secondary,65.0,Portuguese,Bachelors degree,Basic 1st cycle (4th-5th),Technicians & associate professionals,Unskilled workers,65.7,0,0,0,1,male,0,34,0,0,5,6,5,62.0,0,0,5,9,5,67.14285715,0,13.9,-0.3,0.79,Graduate,64.571428575,61-80,50-70,High,Very Low,High
single,Over 23 years old,1,Biofuel Production Technologies,daytime,Secondary,65.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Unskilled workers,Farmers & agriculture,51.24999999999999,0,0,1,0,male,0,37,0,0,7,7,0,0.0,0,0,7,7,1,50.0,0,8.9,1.4,3.51,Dropout,25.0,21-40,50-70,Very Low,Medium,Very High
single,Over 23 years old,1,Informatics Engineering,daytime,11th grade - not completed,66.55,Portuguese,Unknown,Basic 1st cycle (4th-5th),Student,Student,64.4,1,0,0,1,male,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0-20,50-70,Very Low,High,Medium
single,Change of course,1,Management,daytime,Secondary,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Farmers & agriculture,Farmers & agriculture,61.45,0,0,0,1,female,0,55,0,0,5,10,1,50.0,0,0,5,8,2,60.0,2,16.2,0.3,-0.92,Dropout,55.0,41-60,50-70,Very High,Low,Medium
divorced,Over 23 years old,1,Management (evening attendance),evening,Secondary,60.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Unskilled workers,Technicians & associate professionals,56.95,1,0,0,1,female,0,39,0,0,5,8,5,55.00000000000001,0,0,5,5,5,57.99999999999999,0,7.6,2.6,0.32,Graduate,56.5,41-60,50-70,Very Low,High,Medium
single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization,60.0,Spanish,Masters degree,Masters degree,Technicians & associate professionals,Farmers & agriculture,60.0,0,0,1,0,female,0,20,1,2,6,13,3,58.33333335,0,1,6,11,3,60.0,0,12.4,0.5,1.79,Dropout,59.166666675,41-60,50-70,Medium,Low,High
single,1st phase - general contingent,5,Journalism and Communication,daytime,Secondary,63.0,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",60.54999999999999,0,0,1,1,female,0,18,0,0,6,6,4,63.74999999999999,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,31.874999999999996,21-40,50-70,Medium,Very High,Low
single,1st phase - general contingent,2,Management,daytime,Secondary,66.5,Portuguese,Higher education (diploma),Basic 3rd cycle (9th-11th),"Specialists (science, law, etc.)",Skilled industry workers,60.199999999999996,1,0,0,1,female,0,22,0,0,5,5,5,74.0,0,0,5,5,5,79.0,0,8.9,1.4,3.51,Graduate,76.5,61-80,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,6,Nursing,daytime,Secondary,51.5,Portuguese,Secondary,Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",50.3,1,1,0,1,female,0,22,0,0,7,9,5,69.64,0,0,8,9,7,71.7142857,0,11.1,0.6,2.02,Graduate,70.67714285,61-80,50-70,Medium,Low,Very High
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary,60.0,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Personal services & sales,Personal services & sales,60.699999999999996,0,0,0,0,female,0,20,0,0,6,7,4,65.0,0,0,6,7,5,69.0,0,12.4,0.5,1.79,Dropout,67.0,61-80,50-70,Medium,Low,High
single,Over 23 years old,1,Management (evening attendance),evening,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,54.85,0,0,0,1,female,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,0.0,0-20,50-70,Very High,Low,Medium
single,2nd phase - general contingent,1,Management (evening attendance),evening,Secondary,77.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Admin staff,Personal services & sales,67.05,0,0,0,1,female,0,24,0,0,5,9,2,57.49999999999999,0,0,5,11,3,71.66666665,1,7.6,2.6,0.32,Enrolled,64.583333325,61-80,50-70,Very Low,High,Medium
single,2nd phase - general contingent,2,Social Service,daytime,Secondary,65.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Unskilled workers,Unskilled workers,63.800000000000004,1,0,0,1,female,0,18,0,0,6,6,6,58.33333335,0,0,6,8,5,65.99999999999999,0,11.1,0.6,2.02,Graduate,62.16666667499999,61-80,50-70,Medium,Low,Very High
single,2nd phase - general contingent,6,Nursing,daytime,Secondary,66.0,Portuguese,Basic 1st cycle (4th-5th),Basic 3rd cycle (9th-11th),Skilled industry workers,Skilled industry workers,66.2,1,0,0,1,female,1,22,0,0,7,8,6,67.58333335,0,0,8,9,7,68.85714285,0,11.1,0.6,2.02,Graduate,68.2202381,61-80,50-70,Medium,Low,Very High
single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization,65.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Unskilled workers,Unskilled workers,66.7,0,0,0,1,female,1,21,0,3,6,6,6,57.49999999999999,0,2,6,7,6,66.42857144999999,0,12.4,0.5,1.79,Graduate,61.964285724999996,61-80,50-70,Medium,Low,High
single,1st phase - general contingent,1,Social Service,daytime,Secondary,69.5,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,63.05,0,0,0,1,female,1,19,0,0,6,7,5,61.66666665,0,0,6,7,6,64.16666665000001,0,12.7,3.7,-1.7,Graduate,62.91666665000001,61-80,50-70,Medium,Very High,Low
single,Over 23 years old,1,Tourism,daytime,Secondary,65.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Skilled industry workers,56.75,0,0,0,1,female,1,24,0,0,6,6,6,68.33333335,0,0,6,6,6,70.83333334999999,0,12.4,0.5,1.79,Graduate,69.58333335,61-80,50-70,Medium,Low,High
single,1st phase - general contingent,1,Nursing,daytime,Secondary,69.5,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Farmers & agriculture,Farmers & agriculture,60.650000000000006,1,0,0,1,female,1,19,0,0,8,10,6,59.166666649999996,0,0,8,10,6,59.166666649999996,0,9.4,-0.8,-3.12,Enrolled,59.166666649999996,41-60,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,63.5,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Skilled industry workers,Skilled industry workers,60.9,1,0,0,1,female,1,20,0,0,6,11,4,70.0,0,0,6,12,3,55.00000000000001,0,9.4,-0.8,-3.12,Enrolled,62.5,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,3,Equinculture,daytime,Secondary,83.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Other,Other,79.65,0,0,0,1,female,0,19,0,0,5,7,5,73.57142855000001,0,0,5,5,5,79.0,0,7.6,2.6,0.32,Graduate,76.285714275,61-80,70-100,Very Low,High,Medium
single,Over 23 years old,1,Management (evening attendance),evening,Secondary,65.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,60.0,0,0,0,1,female,0,27,0,0,5,12,5,53.0,0,0,5,10,5,55.00000000000001,0,9.4,-0.8,-3.12,Dropout,54.0,41-60,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,1,Nursing,daytime,Secondary,65.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Personal services & sales,Personal services & sales,64.55,1,0,0,1,female,0,18,0,0,7,9,7,65.2222222,0,0,8,10,8,67.97500000000001,0,15.5,2.8,-4.06,Graduate,66.5986111,61-80,50-70,Very High,High,Very Low
married,Holders of other higher courses,1,Tourism,daytime,Higher education (diploma),65.0,Portuguese,Secondary,Higher education (diploma),Admin staff,Technicians & associate professionals,65.0,0,0,0,1,female,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0.0,0-20,50-70,Medium,Low,High
single,Over 23 years old,1,Equinculture,daytime,Higher education (diploma),64.5,Portuguese,Higher education (diploma),Higher education (diploma),"Specialists (science, law, etc.)","Specialists (science, law, etc.)",77.65,1,0,0,1,female,0,27,0,0,6,9,5,65.0,0,5,11,13,10,64.5,0,12.4,0.5,1.79,Dropout,64.75,61-80,70-100,Medium,Low,High
single,2nd phase - general contingent,1,Nursing,daytime,Secondary,70.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Skilled industry workers,Military professions,69.9,1,0,0,1,female,0,18,0,0,8,8,8,74.675,0,0,8,8,8,74.675,0,9.4,-0.8,-3.12,Graduate,74.675,61-80,50-70,Low,Very Low,Very Low
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary,62.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Admin staff,Unskilled workers,57.60000000000001,1,0,0,1,female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,0.0,0-20,50-70,Very Low,High,Medium
single,1st phase - general contingent,2,Nursing,daytime,Secondary,62.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Unskilled workers,Unskilled workers,57.45,0,0,0,1,female,0,18,0,0,7,8,6,65.66666665,0,0,8,12,7,61.10714285000001,0,16.2,0.3,-0.92,Graduate,63.38690475,61-80,50-70,Very High,Low,Medium
single,Technological specialization diploma holders,1,Social Service,daytime,Technological specialization,65.0,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Unskilled workers,Unskilled workers,65.95,0,0,0,1,female,1,21,0,3,6,7,6,60.0,0,2,6,7,6,60.0,0,13.9,-0.3,0.79,Graduate,60.0,41-60,50-70,High,Very Low,High
single,2nd phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary,66.5,Portuguese,Secondary,Basic 1st cycle (4th-5th),Admin staff,Skilled industry workers,63.0,1,0,0,1,male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,0.0,0-20,50-70,Low,Medium,High
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary,63.5,Portuguese,Secondary,Secondary,Technicians & associate professionals,Admin staff,65.1,1,0,0,1,male,0,19,0,0,6,6,5,57.00000000000001,0,0,6,8,1,50.0,0,10.8,1.4,1.74,Enrolled,53.5,41-60,50-70,Low,Medium,High
single,Change of course,1,Communication Design,daytime,Secondary,57.99999999999999,Portuguese,Secondary,Secondary,Technicians & associate professionals,Technicians & associate professionals,60.45,0,0,0,1,male,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0.0,0-20,50-70,Medium,Very High,Low
divorced,Transfer,1,Nursing,daytime,Basic 3rd cycle (9th-11th),66.55,Portuguese,Secondary,Secondary,Personal services & sales,Personal services & sales,63.0,1,0,0,1,male,0,29,0,2,7,10,5,59.5,0,1,8,10,5,55.00000000000001,0,13.9,-0.3,0.79,Dropout,57.25,41-60,50-70,High,Very Low,High
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization,65.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,65.0,1,0,0,1,male,0,23,0,0,6,8,6,62.85714285,0,0,6,7,6,62.14285715,0,8.9,1.4,3.51,Graduate,62.5,61-80,50-70,Very Low,Medium,Very High
single,1st phase - general contingent,3,Management,daytime,Secondary,62.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Skilled industry workers,Skilled industry workers,60.04999999999999,0,0,1,1,male,0,19,0,0,5,8,5,55.99999999999999,0,0,5,10,4,53.75,3,16.2,0.3,-0.92,Dropout,54.875,41-60,50-70,Very High,Low,Medium
single,Over 23 years old,1,Tourism,daytime,Secondary,80.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Skilled industry workers,Military professions,50.0,0,0,0,1,male,0,26,0,0,6,7,6,60.0,0,0,6,8,5,54.0,0,12.7,3.7,-1.7,Enrolled,57.0,41-60,0-50,Medium,Very High,Low
single,2nd phase - general contingent,1,Management,daytime,Secondary,74.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Personal services & sales,67.0,0,0,0,1,male,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.0,0-20,50-70,Very Low,High,Medium
single,2nd phase - general contingent,1,Nursing,daytime,Secondary,75.0,Portuguese,Basic 1st cycle (4th-5th),Basic 3rd cycle (9th-11th),Machine operators,Admin staff,65.4,0,0,0,1,male,0,24,0,0,7,8,7,59.875,0,0,8,8,8,68.75,0,13.9,-0.3,0.79,Graduate,64.3125,61-80,50-70,High,Very Low,High
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary,70.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Personal services & sales,Military professions,67.9,1,0,0,1,male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0.0,0-20,50-70,Very High,High,Very Low
single,2nd phase - general contingent,4,Tourism,daytime,Secondary,59.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Skilled industry workers,55.85,1,0,0,1,male,0,18,0,0,6,12,3,58.33333335,0,0,6,12,1,60.0,0,12.4,0.5,1.79,Dropout,59.166666675,41-60,50-70,Medium,Low,High
single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary,71.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,66.45,1,0,0,1,male,0,18,0,0,6,8,6,61.66666665,0,0,6,11,3,61.66666665,0,10.8,1.4,1.74,Graduate,61.66666665,61-80,50-70,Low,Medium,High
single,2nd phase - general contingent,3,Management,daytime,Secondary,60.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Admin staff,Skilled industry workers,57.75,1,0,1,1,male,0,18,0,0,5,8,3,51.66666665,0,0,5,11,3,54.285714299999995,0,10.8,1.4,1.74,Dropout,52.976190474999996,41-60,50-70,Low,Medium,High
single,3rd phase - general contingent,4,Tourism,daytime,Secondary,53.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Skilled industry workers,Skilled industry workers,53.0,1,0,0,1,male,1,21,0,0,6,8,4,52.5,0,0,6,11,1,55.00000000000001,0,9.4,-0.8,-3.12,Dropout,53.75,41-60,50-70,Low,Very Low,Very Low
