marital_status,application_mode,application_order,course,course_time,education_level,previous_grade,nationality,mother_education,father_education,mother_occupation,father_occupation,admission_grade,is_displaced,has_special_needs,is_debtor,is_tuition_paid,gender,is_scholarship_holder,age_at_enrollment,is_international,s1_credited,s1_enrolled,s1_evaluated,s1_approved,s1_grade,s1_not_evaluated,s2_credited,s2_enrolled,s2_evaluated,s2_approved,s2_grade,s2_not_evaluated,unemployment_rate,inflation_rate,gdp
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,63.5,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Skilled industry workers,Skilled industry workers,60.9,1,0,0,1,female,1,20,0,0,6,11,4,70.0,0,0,6,12,3,55.00000000000001,0,9.4,-0.8,-3.12
single,1st phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary,62.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Admin staff,Unskilled workers,57.60000000000001,1,0,0,1,female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32
single,2nd phase - general contingent,3,Animation and Multimedia Design,daytime,Secondary,66.5,Portuguese,Secondary,Basic 1st cycle (4th-5th),Admin staff,Skilled industry workers,63.0,1,0,0,1,male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary,63.5,Portuguese,Secondary,Secondary,Technicians & associate professionals,Admin staff,65.1,1,0,0,1,male,0,19,0,0,6,6,5,57.00000000000001,0,0,6,8,1,50.0,0,10.8,1.4,1.74
single,Change of course,1,Communication Design,daytime,Secondary,57.99999999999999,Portuguese,Secondary,Secondary,Technicians & associate professionals,Technicians & associate professionals,60.45,0,0,0,1,male,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7
single,Over 23 years old,1,Tourism,daytime,Secondary,80.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Skilled industry workers,Military professions,50.0,0,0,0,1,male,0,26,0,0,6,7,6,60.0,0,0,6,8,5,54.0,0,12.7,3.7,-1.7
single,2nd phase - general contingent,1,Management,daytime,Secondary,74.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Personal services & sales,Personal services & sales,67.0,0,0,0,1,male,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32
single,2nd phase - general contingent,1,Tourism,daytime,Secondary,60.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Admin staff,Admin staff,62.74999999999999,0,0,0,1,male,0,18,0,0,5,6,5,60.0,0,0,5,8,3,56.666666649999996,0,12.7,3.7,-1.7
single,1st phase - general contingent,6,Management,daytime,Secondary,71.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,64.35,1,0,0,1,male,0,23,0,0,5,6,4,70.0,0,0,5,5,5,69.0,0,11.1,0.6,2.02
single,Change of course,2,Informatics Engineering,daytime,Secondary,57.49999999999999,Portuguese,Basic 2nd cycle (6th-8th),Basic 3rd cycle (9th-11th),Unskilled workers,Farmers & agriculture,56.10000000000001,1,0,1,1,male,0,18,0,0,5,9,2,50.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06
single,International student (bachelor),1,Informatics Engineering,daytime,Secondary,65.0,Santomean,Basic 2nd cycle (6th-8th),Higher education (diploma),Unskilled workers,"Specialists (science, law, etc.)",68.5,1,0,0,1,male,0,19,1,0,5,9,5,70.0,0,0,5,11,3,66.25,0,13.9,-0.3,0.79
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,67.5,Portuguese,Secondary,Bachelors degree,Unskilled workers,Govt & executive leaders,67.15,1,0,0,1,female,0,19,0,0,5,7,5,71.0,2,0,5,7,5,69.0,0,12.7,3.7,-1.7
single,2nd phase - general contingent,2,Basic Education,daytime,Secondary,66.55,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Unskilled workers,Technicians & associate professionals,53.5,1,0,0,1,female,0,20,0,0,7,12,6,58.33333335,0,0,7,10,3,65.0,0,16.2,0.3,-0.92
single,2nd phase - general contingent,2,Management,daytime,Secondary,61.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Admin staff,Skilled industry workers,57.65,1,0,0,1,female,1,18,0,0,5,9,3,65.0,0,0,5,11,3,55.00000000000001,0,8.9,1.4,3.51
single,Change of course,1,Nursing,daytime,Secondary,65.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Unskilled workers,Personal services & sales,50.0,0,0,0,1,female,0,20,0,0,7,11,6,58.08333335,0,0,7,7,7,65.0,0,13.9,-0.3,0.79
single,2nd phase - general contingent,1,Social Service,daytime,Secondary,77.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Unskilled workers,Skilled industry workers,70.2,1,0,0,1,female,1,20,0,0,6,13,2,50.0,0,0,6,12,4,53.75,0,7.6,2.6,0.32
single,2nd phase - general contingent,1,Management,daytime,Secondary,60.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Technicians & associate professionals,Technicians & associate professionals,56.7,0,0,0,1,female,0,20,0,0,5,11,3,51.66666665,0,0,5,10,3,53.333333350000004,0,12.4,0.5,1.79
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,73.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Technicians & associate professionals,72.65,1,0,0,1,female,1,18,0,0,6,8,5,64.0,0,0,6,7,5,67.0,0,9.4,-0.8,-3.12
single,1st phase - general contingent,2,Nursing,daytime,Secondary,58.5,Portuguese,Basic 3rd cycle (9th-11th),Secondary,Admin staff,Skilled industry workers,56.05,0,0,0,1,female,1,20,0,0,7,9,5,65.94,0,0,8,9,7,64.4642857,0,11.1,0.6,2.02
single,Change of institution/course,1,Management,daytime,Secondary,49.5,Portuguese,Higher education (diploma),Secondary,Technicians & associate professionals,Technicians & associate professionals,49.85,1,0,1,0,female,0,22,0,0,5,8,0,0.0,0,0,5,7,0,0.0,0,8.9,1.4,3.51
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary,68.0,Portuguese,Higher education (diploma),Basic 1st cycle (4th-5th),"Specialists (science, law, etc.)",Machine operators,60.85,1,0,0,1,female,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12
single,2nd phase - general contingent,1,Basic Education,daytime,Secondary,69.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Skilled industry workers,Farmers & agriculture,62.35000000000001,1,0,0,1,female,0,18,0,0,6,11,3,61.66666665,0,0,6,10,5,54.16666665,0,9.4,-0.8,-3.12
widower,Over 23 years old,1,Agronomy,daytime,Secondary,85.0,Portuguese,Secondary,Basic 1st cycle (4th-5th),Farmers & agriculture,Farmers & agriculture,85.0,0,0,1,1,female,0,47,0,0,1,1,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51
single,Over 23 years old,1,Veterinary Nursing,daytime,Secondary,65.0,Portuguese,Basic 1st cycle (4th-5th),Basic 3rd cycle (9th-11th),Unskilled workers,Skilled industry workers,65.0,1,0,0,1,female,0,28,0,0,5,13,4,56.25,1,0,5,11,4,52.5,0,12.7,3.7,-1.7
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary,65.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,61.5,1,0,0,1,female,1,18,0,0,5,6,3,58.33333335,0,0,5,6,4,67.5,0,7.6,2.6,0.32
single,Technological specialization diploma holders,1,Management (evening attendance),evening,Technological specialization,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 3rd cycle (9th-11th),Unskilled workers,Machine operators,70.0,0,0,0,1,female,1,26,0,2,6,7,6,63.33333335,0,2,6,7,6,65.83333335,1,9.4,-0.8,-3.12
single,Change of course,1,Social Service,daytime,Secondary,71.5,Portuguese,Secondary,Basic 1st cycle (4th-5th),Personal services & sales,Unskilled workers,63.3,0,0,1,0,female,0,21,0,5,10,18,8,57.49999999999999,0,0,6,12,4,50.0,0,9.4,-0.8,-3.12
single,1st phase - general contingent,1,Social Service (evening attendance),evening,Secondary,60.0,Portuguese,Secondary,Basic 1st cycle (4th-5th),Skilled industry workers,Technicians & associate professionals,61.4,0,0,0,1,female,0,23,0,0,6,13,2,50.0,0,0,5,12,1,50.0,0,9.4,-0.8,-3.12
single,Over 23 years old,1,Nursing,daytime,Secondary,60.0,Portuguese,Secondary,Higher education (diploma),"Food, textile, & wood industry workers",Scientists & engineers,52.95000000000001,0,0,0,1,female,0,35,0,0,3,4,3,59.083333350000004,0,0,3,3,3,56.666666649999996,0,11.1,0.6,2.02
single,Over 23 years old,1,Oral Hygiene,daytime,Higher education (diploma),65.0,Portuguese,Secondary,Secondary,Admin staff,Personal services & sales,72.5,0,0,0,1,female,0,25,0,0,7,10,6,60.62499999999999,0,0,8,9,8,66.5625,0,15.5,2.8,-4.06
single,1st phase - general contingent,3,Nursing,daytime,Secondary,62.5,Portuguese,Higher education (diploma),Secondary,Admin staff,Admin staff,59.699999999999996,1,0,0,1,female,0,19,0,0,7,10,6,62.35714285,0,0,7,8,7,57.3125,0,12.4,0.5,1.79
single,1st phase - special contingent (Madeira Island),1,Animation and Multimedia Design,daytime,Secondary,72.5,Portuguese,Higher education (diploma),Higher education (diploma),Technicians & associate professionals,Technicians & associate professionals,77.5,1,0,0,1,female,0,24,0,11,17,19,11,64.54545455,0,9,13,15,9,67.77777780000001,0,12.4,0.5,1.79
single,1st phase - general contingent,3,Communication Design,daytime,Secondary,62.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,62.7,1,0,0,1,female,0,19,0,0,6,7,5,62.0,0,0,6,6,5,62.0,0,9.4,-0.8,-3.12
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,63.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Machine operators,61.6,1,0,0,1,female,0,18,0,0,6,12,1,55.00000000000001,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12
single,2nd phase - general contingent,3,Communication Design,daytime,Secondary,57.99999999999999,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,55.39999999999999,0,0,0,1,female,0,18,0,0,6,6,6,59.166666649999996,0,0,6,6,6,62.5,0,7.6,2.6,0.32
single,1st phase - general contingent,1,Nursing,daytime,Secondary,71.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Personal services & sales,Farmers & agriculture,71.15,0,0,0,1,female,1,18,0,0,7,7,7,68.9857143,0,0,8,8,8,68.875,0,12.4,0.5,1.79
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary,61.5,Portuguese,Masters degree,Basic 1st cycle (4th-5th),"Specialists (science, law, etc.)",Unskilled workers,56.95,0,0,0,1,female,0,18,0,0,6,8,6,62.5,0,0,6,6,6,61.66666665,0,15.5,2.8,-4.06
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Admin staff,70.0,0,0,0,1,female,0,24,0,0,6,10,6,57.142857150000005,0,0,6,12,5,65.0,0,12.4,0.5,1.79
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary,59.5,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Military professions,57.75,1,0,0,1,female,0,19,0,0,6,8,4,55.00000000000001,0,0,6,9,4,55.00000000000001,0,10.8,1.4,1.74
single,2nd phase - general contingent,1,Nursing,daytime,Secondary,80.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Skilled industry workers,Skilled industry workers,73.9,0,0,0,1,female,0,20,0,0,7,11,6,58.7857143,0,0,8,12,6,65.41666665,0,15.5,2.8,-4.06
single,1st phase - special contingent (Azores Island),3,Veterinary Nursing,daytime,Secondary,70.5,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Skilled industry workers,Personal services & sales,64.4,1,0,0,1,female,0,19,0,0,5,9,3,51.66666665,1,0,5,8,3,65.0,0,7.6,2.6,0.32
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,66.0,Portuguese,Bachelors degree,Basic 3rd cycle (9th-11th),Admin staff,Admin staff,62.5,1,0,0,1,female,0,18,0,0,6,9,5,63.0,0,0,6,8,5,57.00000000000001,0,9.4,-0.8,-3.12
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,67.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Personal services & sales,68.4,1,0,0,1,female,0,18,0,0,5,11,5,70.0,3,0,5,7,5,57.99999999999999,0,9.4,-0.8,-3.12
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,61.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Unskilled workers,Farmers & agriculture,60.8,1,0,0,1,female,0,18,0,0,7,12,5,60.0,0,0,7,9,6,63.33333335,0,11.1,0.6,2.02
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,64.5,Portuguese,Secondary,Bachelors degree,Technicians & associate professionals,Govt & executive leaders,62.95,1,0,0,1,female,0,19,0,0,5,13,4,60.0,2,0,5,8,3,60.0,0,9.4,-0.8,-3.12
single,Transfer,1,Management,daytime,Secondary,65.0,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Unskilled workers,Govt & executive leaders,65.0,1,0,0,1,female,0,26,0,3,5,5,4,65.0,0,1,5,7,2,60.0,0,9.4,-0.8,-3.12
single,Change of course,1,Social Service,daytime,Secondary,55.00000000000001,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,55.00000000000001,0,0,0,1,female,0,36,0,10,16,24,13,53.46153845,1,9,13,19,9,61.53846155,0,15.5,2.8,-4.06
single,1st phase - general contingent,2,Social Service (evening attendance),evening,Secondary,48.0,Portuguese,Higher education (diploma),Secondary,Technicians & associate professionals,Unskilled workers,50.0,0,0,0,1,female,0,20,0,0,6,10,5,60.0,0,0,6,9,4,56.25,0,9.4,-0.8,-3.12
single,Over 23 years old,1,Agronomy,daytime,Secondary,66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Technicians & associate professionals,Machine operators,65.0,0,0,1,1,female,1,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02
single,2nd phase - general contingent,4,Management,daytime,Secondary,56.00000000000001,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Military professions,56.00000000000001,1,0,0,1,female,0,20,0,0,5,10,3,51.66666665,0,0,5,9,4,55.00000000000001,2,16.2,0.3,-0.92
single,1st phase - general contingent,4,Nursing,daytime,Secondary,68.0,Portuguese,Secondary,Secondary,Unskilled workers,Govt & executive leaders,66.5,1,0,0,1,female,0,19,0,0,7,8,5,69.9,0,0,7,8,5,69.9,0,7.6,2.6,0.32
single,2nd phase - general contingent,1,Veterinary Nursing,daytime,Secondary,67.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),"Specialists (science, law, etc.)",Skilled industry workers,65.6,0,0,0,1,female,0,19,0,0,5,8,1,55.00000000000001,0,0,5,6,5,55.99999999999999,0,7.6,2.6,0.32
divorced,Over 23 years old,1,Management (evening attendance),evening,Secondary,65.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 3rd cycle (9th-11th),Unskilled workers,Skilled industry workers,74.0,0,0,0,1,female,1,31,0,0,5,11,4,56.25,0,0,5,10,4,54.16666665,0,13.9,-0.3,0.79
married,Change of institution/course,1,Social Service (evening attendance),evening,Basic 3rd cycle (9th-11th),66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,52.0,0,0,1,1,female,0,42,0,5,11,14,10,59.5,0,5,11,14,10,64.0,0,11.1,0.6,2.02
single,2nd phase - general contingent,1,Basic Education,daytime,Secondary,62.5,Portuguese,Higher education (diploma),Higher education (diploma),Technicians & associate professionals,Technicians & associate professionals,58.3,1,0,0,0,female,1,18,0,0,7,7,7,61.42857145,0,0,7,8,6,66.66666665000001,0,8.9,1.4,3.51
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization,70.0,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Personal services & sales,Farmers & agriculture,70.0,1,0,0,1,female,0,21,0,2,6,16,5,63.33333335,0,1,6,15,2,67.5,0,16.2,0.3,-0.92
single,Change of course,1,Nursing,daytime,Secondary,85.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 1st cycle (4th-5th),Machine operators,Machine operators,50.0,0,0,0,1,female,0,20,0,0,7,8,6,66.25,0,0,8,8,8,68.75,0,13.9,-0.3,0.79
single,1st phase - general contingent,1,Social Service,daytime,Secondary,67.5,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Personal services & sales,Skilled industry workers,60.5,0,0,0,1,female,0,19,0,0,6,13,3,51.66666665,0,0,6,12,3,51.66666665,0,7.6,2.6,0.32
single,2nd phase - general contingent,1,Basic Education,daytime,Secondary,67.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Admin staff,Personal services & sales,61.25000000000001,1,0,0,1,female,0,22,0,0,6,10,5,65.83333335,0,0,6,8,5,62.0,0,15.5,2.8,-4.06
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization,70.0,Portuguese,Masters degree,Basic 2nd cycle (6th-8th),Admin staff,Personal services & sales,70.0,1,0,0,1,female,0,21,0,0,6,11,4,63.74999999999999,0,0,6,19,1,55.00000000000001,0,12.4,0.5,1.79
single,Over 23 years old,1,Nursing,daytime,Secondary,75.0,Portuguese,Secondary,Basic 3rd cycle (9th-11th),Personal services & sales,Technicians & associate professionals,70.0,0,1,0,1,female,0,26,0,0,7,11,5,55.99999999999999,0,0,8,13,5,60.699999999999996,0,16.2,0.3,-0.92
single,2nd phase - general contingent,4,Communication Design,daytime,Secondary,62.5,Portuguese,Secondary,Higher education (diploma),Technicians & associate professionals,Technicians & associate professionals,64.45,0,0,0,1,female,1,18,0,0,6,9,5,57.99999999999999,0,0,6,8,4,55.99999999999999,0,8.9,1.4,3.51
single,2nd phase - general contingent,1,Tourism,daytime,Secondary,68.0,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Skilled industry workers,Skilled industry workers,60.85,1,0,0,1,female,0,20,0,0,6,13,3,51.66666665,0,0,6,12,3,51.66666665,0,10.8,1.4,1.74
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary,60.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 1st cycle (4th-5th),Unskilled workers,Unskilled workers,57.4,1,1,0,1,female,0,19,0,0,6,11,4,61.25000000000001,0,0,6,11,3,55.00000000000001,0,7.6,2.6,0.32
single,1st phase - general contingent,1,Tourism,daytime,Secondary,64.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,63.5,0,0,0,1,female,0,19,0,0,6,6,6,60.0,0,0,6,7,4,63.74999999999999,0,12.4,0.5,1.79
single,2nd phase - general contingent,1,Management,daytime,Secondary,57.99999999999999,Portuguese,Basic 2nd cycle (6th-8th),Bachelors degree,Unskilled workers,"Specialists (science, law, etc.)",56.10000000000001,1,0,0,1,female,0,20,0,0,5,8,3,56.666666649999996,0,0,5,12,2,53.333333350000004,0,10.8,1.4,1.74
single,2nd phase - general contingent,1,Tourism,daytime,Secondary,61.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 3rd cycle (9th-11th),Personal services & sales,Personal services & sales,59.099999999999994,0,0,0,1,female,1,20,0,0,6,10,4,56.25,0,0,6,6,6,52.5,0,12.4,0.5,1.79
single,Change of course,1,Oral Hygiene,daytime,Secondary,73.5,Portuguese,Higher education (diploma),Masters degree,Technicians & associate professionals,"Specialists (science, law, etc.)",50.0,0,0,0,1,female,0,18,0,0,2,2,0,0.0,0,0,4,4,1,80.0,0,10.8,1.4,1.74
single,Change of course,1,Equinculture,daytime,Secondary,63.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Admin staff,Personal services & sales,60.35,1,0,1,1,female,0,18,0,0,5,11,1,60.0,0,0,5,9,3,60.0,0,12.7,3.7,-1.7
single,1st phase - general contingent,3,Tourism,daytime,Secondary,61.0,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Technicians & associate professionals,Military professions,57.15,1,0,0,1,female,1,20,0,0,6,8,5,64.0,0,0,6,9,5,64.0,0,12.4,0.5,1.79
single,1st phase - general contingent,3,Management,daytime,Secondary,65.5,Portuguese,Basic 3rd cycle (9th-11th),Basic 2nd cycle (6th-8th),Unskilled workers,Skilled industry workers,66.2,1,0,0,1,female,0,19,0,0,5,5,5,59.00000000000001,0,0,5,8,4,56.25,0,9.4,-0.8,-3.12
single,2nd phase - general contingent,1,Social Service,daytime,Secondary,74.0,Portuguese,Secondary,Secondary,Admin staff,Unskilled workers,64.9,0,0,0,1,female,0,20,0,0,6,11,5,53.0,0,0,6,11,4,52.0,0,15.5,2.8,-4.06
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,66.5,Portuguese,Secondary,Basic 2nd cycle (6th-8th),Personal services & sales,Military professions,65.65,1,0,0,1,female,0,20,0,0,6,9,5,71.66666665,0,4,8,8,8,63.125,0,15.5,2.8,-4.06
single,2nd phase - general contingent,1,Social Service,daytime,Secondary,64.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 3rd cycle (9th-11th),191,"Food, textile, & wood industry workers",59.3,1,0,0,1,female,1,21,0,0,6,8,5,65.99999999999999,0,0,6,7,5,59.00000000000001,0,8.9,1.4,3.51
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization,70.0,Portuguese,Basic 2nd cycle (6th-8th),Basic 2nd cycle (6th-8th),Unskilled workers,Skilled industry workers,70.0,0,0,0,1,female,0,20,0,2,6,9,6,63.33333335,0,1,6,12,2,65.0,0,13.9,-0.3,0.79
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary,50.5,Portuguese,Basic 1st cycle (4th-5th),Basic 1st cycle (4th-5th),Unskilled workers,Admin staff,50.5,1,0,1,1,female,0,22,0,0,6,9,5,66.66666665000001,0,0,6,17,4,57.00000000000001,0,12.4,0.5,1.79
single,1st phase - general contingent,1,Basic Education,daytime,Secondary,63.0,Portuguese,Higher education (diploma),Secondary,"Specialists (science, law, etc.)",Personal services & sales,58.45,1,1,0,1,female,0,18,0,0,7,10,6,53.333333350000004,0,0,7,12,6,64.16666665000001,0,13.9,-0.3,0.79
single,2nd phase - general contingent,3,Veterinary Nursing,daytime,Secondary,67.0,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Unskilled workers,Unskilled workers,60.199999999999996,1,0,0,1,female,0,20,0,0,5,13,3,56.666666649999996,2,0,5,8,5,63.0,0,9.4,-0.8,-3.12
single,1st phase - general contingent,1,Communication Design,daytime,Secondary,62.5,Portuguese,Secondary,Secondary,Admin staff,Admin staff,66.0,0,0,0,0,female,0,18,0,1,6,10,5,61.0,1,0,6,11,4,54.16666665,0,13.9,-0.3,0.79
single,Over 23 years old,1,Nursing,daytime,Basic 3rd cycle (9th-11th),66.55,Portuguese,Basic 1st cycle (4th-5th),Basic 2nd cycle (6th-8th),Personal service workers,Commercial farmers,71.85,0,0,0,1,female,0,27,0,0,7,12,4,70.0,0,0,7,14,3,62.625,0,12.4,0.5,1.79
single,Over 23 years old,1,Biofuel Production Technologies,daytime,Secondary,70.0,Portuguese,Higher education (diploma),Secondary,"Specialists (science, law, etc.)",Admin staff,76.4,0,0,0,1,female,0,26,0,0,7,9,7,73.75,0,0,7,12,5,69.0,3,16.2,0.3,-0.92
